#TE	Order	Superfamily	Clade	Complete	Strand	Domains
TE_00008540_INT#LTR/Copia	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
TE_00008566_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00008586_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00008604_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00008610_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	INT|Ogre
TE_00008617_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00008619_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008623_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	RT|Ogre
TE_00008624_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00008649_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM RT|CRM
TE_00008650_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand RT|Retand RH|Retand
TE_00008670_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand aRH|Retand
TE_00008674_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00008675_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00008692_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay CHD|Tekay
TE_00008693_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	INT|Reina CHD|Reina
TE_00008694_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00008703_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008718_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00008733_INT#LTR/unknown	LINE	unknown	unknown	unknown	-	RT|LINE
TE_00008736_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	?	CHD|Reina GAG|Reina
TE_00008760_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00008762_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008771_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale INT|Ale RT|Ale RH|Ale
TE_00008774_INT#LTR/Copia	LTR	Copia	Angela	yes	+	GAG|Angela PROT|Angela INT|Angela RT|Angela RH|Angela
TE_00008811_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00008815_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00008825_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00008862_INT#LTR/unknown	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina
TE_00008864_INT#LTR/Copia	LTR	Copia	Ale	no	+	RH|Ale
TE_00008869_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00008870_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00008872_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00008882_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	-	RH|Ogre
TE_00008886_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00008901_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00008912_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00008916_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00008928_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00008931_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008944_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00008957_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00008977_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00008978_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00008987_INT#LTR/unknown	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00009002_INT#LTR/unknown	LTR	Copia	Ale	no	+	INT|Ale RT|Ale RH|Ale
TE_00009006_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00009010_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
TE_00009048_INT#LTR/unknown	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00009060_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina
TE_00009066_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00009074_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00009077_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand
TE_00009084_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM
TE_00009086_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00009089_LTR#LTR/Copia	LINE	unknown	unknown	unknown	+	ENDO|LINE
TE_00009091_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00009109_INT#LTR/unknown	LTR	Copia	Bianca	no	-	RH|Bianca
TE_00009114_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00009140_INT#LTR/Copia	LTR	Copia	SIRE	no	-	GAG|SIRE
TE_00009141_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00009145_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00009148_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM
TE_00009160_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand RH|Retand INT|Retand
TE_00009169_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00009186_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00009196_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay
TE_00009200_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00009205_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00009217_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00009223_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00009236_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale
TE_00009246_LTR#LTR/Copia	LTR	Copia	SIRE	no	-	GAG|SIRE
TE_00009252_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00009302_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00009307_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00009308_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00009316_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00009320_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00009329_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00009333_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM
TE_00009349_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00009356_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM PROT|CRM
TE_00009363_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand RH|Retand INT|Retand
TE_00009392_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00009397_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00009400_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RH|Retand INT|Retand
TE_00009416_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00009442_LTR#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	GAG|Ogre
TE_00009455_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00009470_INT#LTR/Copia	LTR	Copia	Ikeros	yes	+	GAG|Ikeros PROT|Ikeros INT|Ikeros RT|Ikeros RH|Ikeros
TE_00009473_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00009480_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina RH|Reina INT|Reina CHD|Reina
TE_00009481_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	PROT|Reina RT|Reina
TE_00009483_INT#LTR/unknown	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00009508_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00009513_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00009514_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00009520_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00009531_INT#LTR/Copia	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
TE_00009533_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00009559_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00009560_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00009562_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	RT|CRM
TE_00009593_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00009628_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00009629_INT#LTR/unknown	LTR	Copia	SIRE	no	-	GAG|SIRE
TE_00009646_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00009659_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00009667_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00009692_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00009707_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00009727_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00009732_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00009734_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00009738_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
TE_00009794_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00009804_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00009834_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina
TE_00009840_LTR#LTR/Copia	LTR	Copia	SIRE	no	+	RH|SIRE
TE_00009869_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand
TE_00009873_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00009888_INT#LTR/Copia	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00009896_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	-	RH|Ogre
TE_00009901_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00009906_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00009910_LTR#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand
TE_00009918_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00009921_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00009931_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00009935_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00009937_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00009938_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00009943_INT#LTR/Copia	LTR	Copia	Ivana	no	+	PROT|Ivana RT|Ivana RH|Ivana
TE_00009969_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand RT|LINE
TE_00009972_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00009975_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00009993_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00010007_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	RT|Ikeros RH|Ikeros
TE_00010010_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010017_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010031_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana PROT|Ivana RH|Ivana
TE_00010049_INT#LTR/unknown	LTR	Copia	Bianca	no	+	RH|Bianca
TE_00010065_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010070_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00010076_INT#LTR/Gypsy	LTR	Gypsy	TatII	no	+	aRH|TatII
TE_00010100_INT#LTR/Copia	LTR	Copia	Ale	no	+	INT|Ale
TE_00010103_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00010113_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00010128_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00010130_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00010146_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00010154_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00010155_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00010162_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010166_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand
TE_00010168_INT#LTR/unknown	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010173_INT#LTR/Copia	LTR	Copia	Bianca	no	+	GAG|Bianca
TE_00010179_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00010181_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010208_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00010223_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010227_INT#LTR/Copia	LTR	Copia	Ale	no	+	INT|Ale
TE_00010231_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00010232_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00010235_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RH|Bianca
TE_00010236_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	PROT|Reina
TE_00010253_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010272_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00010281_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00010296_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00010301_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00010307_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina INT|Reina CHD|Reina
TE_00010337_INT#LTR/Copia	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
TE_00010354_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010391_INT#LTR/Copia	LTR	Copia	Angela	no	+	GAG|Angela PROT|Angela INT|Angela RH|Angela
TE_00010398_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010401_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00010405_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00010414_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010432_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00010438_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RT|Retand aRH|Ogre INT|Retand
TE_00010454_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00010455_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010456_INT#LTR/Gypsy	LTR	Gypsy	TatII	no	-	aRH|TatII
TE_00010470_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00010474_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM PROT|CRM
TE_00010489_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina RH|Reina
TE_00010491_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00010496_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand
TE_00010499_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00010500_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010502_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00010505_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010532_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00010548_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	GAG|Tekay
TE_00010569_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010571_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana
TE_00010575_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00010592_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010600_INT#LTR/Copia	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00010610_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00010617_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00010645_LTR#LTR/Gypsy	LTR	Gypsy	Tekay	no	?	RT|Tekay RH|Tekay INT|Tekay GAG|Tekay
TE_00010650_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010653_LTR#LTR/Copia	LTR	Copia	SIRE	no	+	RT|SIRE
TE_00010685_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00010687_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010695_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00010706_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010711_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00010715_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00010729_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00010734_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010737_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010751_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand RH|Retand INT|Retand
TE_00010752_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010758_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale RH|Ale
TE_00010769_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00010804_INT#LTR/Copia	LTR	Copia	Ale	no	-	GAG|Ale PROT|Ale INT|Ale
TE_00010811_INT#LTR/Copia	LTR	Copia	Bianca	no	+	GAG|Bianca
TE_00010813_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00010821_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
TE_00010824_INT#LTR/unknown	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00010830_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RH|Reina CHD|Reina
TE_00010849_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00010871_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00010873_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00010877_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00010879_LTR#LTR/Gypsy	LTR	Gypsy	Retand	no	-	PROT|Retand RT|Retand
TE_00010894_INT#LTR/Copia	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00010898_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010906_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand
TE_00010918_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand
TE_00010951_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010960_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010972_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00010975_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00010978_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00010992_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00011000_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00011007_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00011031_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand
TE_00011066_INT#LTR/Copia	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00011088_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00011089_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00011115_INT#LTR/Copia	LTR	Copia	Ale	no	?	INT|Ale PROT|Ale GAG|Ale RT|Ale RH|Ale
TE_00011120_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RT|Retand
TE_00011167_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00011170_INT#LTR/unknown	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00011171_INT#LTR/Copia	LTR	Copia	Bianca	no	+	GAG|Bianca
TE_00011232_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand
TE_00011235_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00011260_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00011281_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00011283_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00011286_INT#LTR/Copia	LTR	Copia	Angela	no	+	PROT|Angela INT|Angela RH|Angela
TE_00011304_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00011320_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
